Wall time,Step,Value
1717256108.94664,59,-700.3764038085938
1717256133.092342,69,-750.9226684570312
1717256231.287565,109,-689.6587524414062
1717256256.1011999,119,-773.2276000976562
1717256330.389683,149,-773.761474609375
1717256355.349132,159,-687.3145141601562
1717256432.025935,189,-718.0521850585938
1717256457.7303045,199,-695.6408081054688
1717256483.5463672,209,-743.9575805664062
1717256586.3358736,249,-621.048583984375
1717256817.632795,339,-607.207763671875
1717256894.3983436,369,-712.1516723632812
1717256995.6714768,409,-576.4835205078125
1717257046.5011356,429,-618.971435546875
1717257096.750678,449,-620.6986694335938
1717257122.333344,459,-648.798583984375
1717257174.0269356,479,-674.7989501953125
1717257223.846382,499,-612.0963134765625
1717257324.8227284,539,-634.842041015625
1717257349.884393,549,-602.85693359375
1717257376.5081077,559,-637.725341796875
1717257402.3227713,569,-691.945556640625
1717257427.5622933,579,-590.376708984375
1717257580.3128026,639,-626.626220703125
1717257631.0139778,659,-674.2991943359375
1717257656.152424,669,-574.106201171875
1717257681.5453174,679,-587.0830078125
1717257707.120924,689,-563.8508911132812
1717257783.4062607,719,-667.303955078125
1717257808.5025027,729,-540.030029296875
1717257833.7213516,739,-680.98681640625
1717257858.8977754,749,-616.2551879882812
1717257985.4576998,799,-623.2789306640625
1717258111.5914388,849,-578.1964111328125
1717258186.4715846,879,-589.807373046875
1717258211.604177,889,-612.8323364257812
1717258364.598204,949,-568.0455932617188
1717258622.5831785,1029,-449.6881103515625
1717258698.9145691,1059,-630.8632202148438
1717258724.4768484,1069,-546.1600341796875
1717258900.9465938,1139,-538.806396484375
1717258977.021025,1169,-580.1087036132812
1717259026.9491825,1189,-502.7088317871094
1717259204.9361582,1259,-427.1422424316406
1717259230.7886393,1269,-570.3848876953125
1717259307.129428,1299,-503.8804931640625
1717259332.1983385,1309,-612.2525024414062
1717259509.3859866,1379,-490.2442626953125
1717259560.1710415,1399,-512.2083129882812
1717259611.3441522,1419,-425.1898193359375
1717259635.936702,1429,-472.9012145996094
1717259661.820948,1439,-472.5436706542969
1717259840.3730788,1509,-539.0296020507812
1717259967.5610268,1559,-480.1804504394531
1717260018.3096783,1579,-475.5272216796875
1717260043.3652675,1589,-549.968017578125
1717260068.7985036,1599,-424.0317687988281
1717260144.3604608,1629,-570.1537475585938
1717260220.4905431,1659,-473.9420166015625
1717260271.2215493,1679,-466.5856628417969
1717260296.5596437,1689,-451.6944580078125
1717260372.6429644,1719,-484.54779052734375
1717260523.107556,1779,-479.76666259765625
1717260548.764909,1789,-410.9233093261719
1717260599.323475,1809,-465.9783935546875
1717260675.699369,1839,-493.5646057128906
1717260726.1109538,1859,-493.1456298828125
1717260751.4825296,1869,-476.1501770019531
1717260801.8730476,1889,-502.5247802734375
1717260851.7368994,1909,-441.1580505371094
1717260876.8325336,1919,-452.88348388671875
1717261106.2682128,1989,-479.0421142578125
1717261311.7928247,2069,-471.5530700683594
1717261337.0568705,2079,-446.5502014160156
1717261362.3361993,2089,-521.8056640625
1717261462.8331256,2129,-486.82135009765625
1717261713.8943462,2229,-551.9254760742188
1717261738.7993011,2239,-478.5539245605469
1717261790.724635,2259,-444.0628662109375
1717261841.464928,2279,-514.5418701171875
1717261893.0134487,2299,-517.5625
1717261968.614044,2329,-495.0608825683594
1717261993.8527653,2339,-480.2530517578125
