Wall time,Step,Value
1709296345.0277596,189,401.28643798828125
1709296460.5636506,249,416.7659606933594
1709296767.694773,409,383.0061950683594
1709296805.9635906,429,418.3058776855469
1709296863.4065201,459,375.05889892578125
1709297073.3232262,569,306.63958740234375
1709297359.3998508,719,267.6341857910156
1709297416.6770687,749,287.656005859375
1709297797.8688707,949,278.64910888671875
1709297962.528428,1029,223.7081298828125
1709298039.1672285,1069,213.60137939453125
1709298421.4999886,1269,201.5627899169922
1709298975.0042825,1559,158.64944458007812
1709299032.1248417,1589,205.57762145996094
1709299203.4124622,1679,146.93655395507812
1709299508.570259,1839,134.91030883789062
1709299546.8949504,1859,144.5907440185547
1709300400.681685,2299,145.03587341308594
1709300497.2249644,2349,120.188232421875
1709300784.046218,2499,129.12266540527344
1709300900.5333896,2559,118.36106872558594
1709300996.9209652,2609,125.55517578125
1709301132.2884035,2679,112.21347045898438
1709301248.2352612,2739,109.9995346069336
1709301622.413527,2929,111.31976318359375
1709301927.7159061,3089,102.28306579589844
1709301966.1617472,3109,115.14745330810547
1709302120.220356,3189,102.94239807128906
1709302521.4209526,3399,123.45515441894531
1709302674.965217,3479,108.76806640625
1709302982.1293218,3639,106.48979187011719
1709303059.8154516,3679,94.2306137084961
1709304122.9875638,4219,85.29820251464844
1709304142.976469,4229,112.98934173583984
1709304475.9697294,4399,94.67443084716797
1709304534.461044,4429,96.11431884765625
1709304592.847632,4459,92.72286224365234
1709304886.331768,4609,80.99571228027344
1709304945.4259872,4639,85.50860595703125
1709304965.509658,4649,107.18588256835938
1709305160.3195827,4749,87.05258178710938
1709305543.0016286,4939,84.9735107421875
1709305950.6802995,5149,80.63570404052734
1709306285.3341014,5319,120.35282897949219
1709306383.9847584,5369,92.84508514404297
1709306911.562132,5639,89.5273666381836
1709307108.5731068,5739,91.21220397949219
1709307226.7143893,5799,66.87094116210938
1709307375.6778946,5869,87.02983093261719
1709307394.9737995,5879,94.54327392578125
1709308038.6144764,6209,80.4375228881836
1709308077.49057,6229,97.66899108886719
1709308312.7229662,6349,96.64317321777344
1709308450.4801273,6419,84.48257446289062
1709308469.9650686,6429,90.61833190917969
1709308509.160221,6449,90.80049896240234
1709308568.377492,6479,111.51611328125
1709308607.8971279,6499,82.62797546386719
1709308840.5706503,6619,83.36759948730469
1709309030.8333607,6719,78.1014404296875
1709309867.086768,7149,80.55082702636719
1709309943.613081,7189,98.23127746582031
1709310019.6668181,7229,100.57666015625
1709310172.4127982,7309,93.9227294921875
1709310345.23479,7399,83.59613037109375
1709310593.7953858,7529,83.75774383544922
1709310670.1280038,7569,82.80880737304688
1709310846.4182105,7659,89.00154876708984
1709310922.8872595,7699,87.1998291015625
1709310961.158823,7719,74.6729736328125
1709310999.5927353,7739,87.55755615234375
1709311145.3156862,7809,79.75697326660156
1709311240.5683117,7859,88.97117614746094
1709311279.021357,7879,72.30903625488281
1709311374.3029013,7929,72.5902099609375
1709311412.7142327,7949,90.51664733886719
1709311489.0080876,7989,86.26834106445312
1709311565.2248647,8029,80.91814422607422
1709311679.7418752,8089,74.70137786865234
1709311699.0343888,8099,95.67437744140625
1709312138.8487918,8329,70.2969970703125
1709312215.847387,8369,86.82659912109375
1709312849.5322862,8699,80.49565887451172
1709312995.4971328,8769,80.02765655517578
1709313110.4816318,8829,99.58184814453125
1709313394.6298537,8969,84.58629608154297
1709313470.9553883,9009,81.83208465576172
1709313604.9382586,9079,87.8821029663086
1709313644.9038062,9099,105.50494384765625
1709313817.586792,9179,102.71121215820312
1709314116.301457,9319,71.9200210571289
1709314137.3699327,9329,89.17985534667969
1709314353.7033777,9429,85.35848236083984
1709314418.771703,9459,75.09123992919922
1709314611.55826,9549,84.7220687866211
1709314696.2641454,9589,94.4122314453125
1709314781.2550976,9629,82.1455078125
1709314988.0210636,9719,65.72970581054688
1709315008.8761737,9729,86.09213256835938
1709315137.3556025,9789,107.60106658935547
1709315158.8181646,9799,71.20745849609375
1709315265.3413377,9849,78.3269271850586
1709315638.9561305,10029,72.42747497558594
1709315700.3444557,10059,79.7388916015625
1709315888.167075,10149,74.32655334472656
1709316526.4338133,10449,82.89021301269531
1709316802.5691564,10579,86.29905700683594
1709316930.245665,10639,76.52484130859375
1709317008.9470408,10669,83.65727233886719
1709317051.470155,10689,73.28372192382812
1709317136.7608063,10729,63.672515869140625
1709317263.96651,10789,83.67048645019531
1709317371.23291,10839,76.53096008300781
1709317585.254537,10939,93.44407653808594
1709317707.9371529,10999,72.69107055664062
1709317808.617893,11049,71.36675262451172
1709318014.0043116,11149,77.28944396972656
1709318868.5782819,11569,87.9009017944336
1709318950.4542747,11609,78.42253112792969
1709318983.127723,11619,68.76969909667969
1709319003.2243822,11629,75.47743225097656
1709319368.4341393,11809,69.91149139404297
1709319634.0812938,11939,65.15504455566406
1709319892.248187,12069,62.96567916870117
1709320399.5549214,12329,77.54399108886719
1709320634.0513866,12449,78.37444305419922
1709320848.3586278,12559,63.37696838378906
1709320919.76329,12589,70.55357360839844
1709320977.9233687,12619,79.06939697265625
1709321368.6207137,12819,78.17462158203125
1709321484.7159183,12879,73.1439437866211
1709321620.7608588,12949,79.05025482177734
1709321741.207611,13009,71.78562927246094
1709322052.245343,13169,59.943382263183594
1709322109.890601,13199,75.626220703125
1709322319.7652917,13309,76.0291748046875
1709322377.258839,13339,91.91631317138672
1709322434.3551848,13369,73.82521057128906
1709322453.2914257,13379,68.17538452148438
1709323379.6881025,13859,67.97950744628906
1709323436.9121807,13889,87.51637268066406
1709323494.0659935,13919,64.88754272460938
1709323513.0096133,13929,77.90744018554688
1709323932.0463269,14149,59.677955627441406
1709324160.61488,14269,64.61410522460938
1709324351.0166168,14369,55.99604034423828
1709324427.1291876,14409,75.15483093261719
1709324915.9477003,14659,76.8824462890625
1709324934.949328,14669,87.52336120605469
1709325145.1534872,14779,46.08976364135742
1709325298.0163372,14859,64.26687622070312
1709325374.3430803,14899,63.23127365112305
1709325412.547886,14919,68.31835174560547
1709326023.0586452,15239,69.5223159790039
1709326099.4140227,15279,73.60960388183594
1709326587.8252668,15529,58.39947509765625
1709326892.4691253,15689,62.960105895996094
1709326911.3734174,15699,70.74076080322266
1709327196.4064147,15849,56.86536407470703
1709327272.586429,15889,70.51402282714844
1709327577.5270524,16049,67.46485900878906
1709327596.5015101,16059,59.58717346191406
1709328015.5155125,16279,56.10490417480469
1709328111.5284176,16329,62.81406784057617
1709328207.6673632,16379,54.10466766357422
1709328264.9228222,16409,63.8748779296875
1709328371.2355824,16459,59.02842330932617
1709328428.1820369,16489,64.485595703125
1709328657.1337154,16609,60.26292419433594
1709328809.9220152,16689,58.48307418823242
1709328943.7932718,16759,54.783199310302734
1709329076.8817544,16829,66.92930603027344
1709329248.272837,16919,66.43443298339844
1709329324.3719084,16959,74.62742614746094
1709329362.4739652,16979,65.98466491699219
1709329400.4227188,16999,75.37612915039062
1709329457.4923735,17029,57.42949676513672
1709329590.5632358,17099,73.98713684082031
1709329761.8867807,17189,68.03933715820312
1709329952.4961848,17289,66.41124725341797
1709330028.5776963,17329,55.63006591796875
1709330066.8176236,17349,52.07002258300781
1709330123.9572484,17379,62.84550476074219
1709330230.2993038,17429,60.69875717163086
1709330287.3363705,17459,56.36840057373047
1709330306.3129132,17469,67.51204681396484
1709330688.3388684,17669,83.6552505493164
1709330859.8964922,17759,67.33411407470703
1709330974.8367097,17819,81.54071044921875
1709331108.2788413,17889,72.2353515625
1709331127.3272607,17899,73.26055908203125
1709331299.4075387,17989,59.91427230834961
1709331432.7054698,18059,60.57032012939453
1709331831.5407493,18269,90.1456527709961
1709331907.8770704,18309,55.87971115112305
1709332109.7923994,18409,62.395103454589844
1709332185.9377902,18449,68.63026428222656
1709332357.918506,18539,61.89678192138672
1709332605.7005358,18669,54.845062255859375
1709332662.7023463,18699,62.64104461669922
1709332776.8048952,18759,62.985496520996094
1709332814.7650096,18779,62.41865158081055
1709333466.4245026,19119,80.11270141601562
1709333580.9114676,19179,51.11505126953125
1709333904.101594,19349,71.20775604248047
1709334107.1527858,19449,60.2666015625
1709334164.5076568,19479,54.16853332519531
1709334202.8600163,19499,56.28132247924805
1709334546.6289928,19679,53.756561279296875
1709334814.3170197,19819,56.49950408935547
1709334852.3214986,19839,52.0926513671875
1709335194.8615065,20019,59.66163635253906
1709335271.0070894,20059,61.54015350341797
1709335425.559511,20139,71.64376831054688
1709335749.1622043,20309,69.17362976074219
1709335874.4403656,20369,53.385948181152344
1709336331.5551794,20609,82.91554260253906
1709336579.2748525,20739,60.042259216308594
1709336636.2909741,20769,64.94476318359375
1709336655.2738929,20779,64.47055053710938
1709336693.206405,20799,68.73941040039062
1709336731.3091946,20819,65.21546173095703
1709336807.5582309,20859,67.5995101928711
1709336883.8779655,20899,64.58470153808594
1709337016.665739,20969,72.42105102539062
1709337302.0420353,21119,52.70698165893555
1709337962.760045,21459,54.10187530517578
1709338038.7993097,21499,56.36213684082031
1709338172.2955117,21569,62.48188781738281
1709338343.5174115,21659,65.3890151977539
1709338571.261749,21779,50.69147872924805
1709338761.5683596,21879,64.6630859375
1709338799.4185345,21899,54.239986419677734
1709338837.6817164,21919,62.28304672241211
1709338932.7177992,21969,66.9180908203125
1709338989.8339338,21999,60.3448486328125
1709339142.1727138,22079,63.320892333984375
1709339218.4670372,22119,70.05250549316406
1709339611.0417478,22319,67.7059555053711
1709339706.316147,22369,52.546142578125
1709339725.4409966,22379,66.31745910644531
1709339763.6984024,22399,66.0712890625
1709339820.9486785,22429,73.22198486328125
1709339897.3065596,22469,60.38726043701172
1709339916.3650646,22479,62.82646179199219
1709340050.0725858,22549,58.202003479003906
1709340107.2113707,22579,62.61742401123047
1709340202.7322164,22629,58.98946762084961
1709340565.913525,22819,51.30350875854492
1709340756.783957,22919,54.440452575683594
1709340871.421164,22979,58.20574188232422
1709340985.5339084,23039,73.23054504394531
1709341062.1136758,23079,56.6622314453125
1709341290.61065,23199,67.87788391113281
1709341309.82379,23209,55.39469909667969
1709341798.5620577,23459,57.006927490234375
1709341970.6444604,23549,49.49900436401367
1709342639.3159904,23899,60.33283615112305
1709342658.4530666,23909,54.2744255065918
1709342697.1279488,23929,48.8941764831543
1709342964.4783037,24069,55.660552978515625
1709343548.2455692,24369,51.9012565612793
1709343700.5738096,24449,59.03716278076172
1709343834.9594452,24519,55.74469757080078
1709343872.8560777,24539,47.37238693237305
1709343910.8611343,24559,52.79545211791992
1709344006.1426005,24609,60.250457763671875
1709344481.5915706,24859,72.86598205566406
1709344500.512634,24869,52.0211296081543
1709344690.8387828,24969,66.2313232421875
1709344728.7563586,24989,65.23526000976562
1709344824.2602315,25039,41.028079986572266
1709345103.019784,25179,49.04581832885742
1709345217.6550484,25239,67.92459869384766
1709345389.5862014,25329,64.77093505859375
1709345675.0879169,25479,66.56114196777344
1709345751.077343,25519,54.371131896972656
1709345789.2453618,25539,50.61754608154297
1709346267.1410527,25789,60.822227478027344
1709346495.3870645,25909,63.10101318359375
1709346685.945809,26009,57.598873138427734
1709346800.1341562,26069,46.70798873901367
1709347135.788573,26239,55.46986389160156
1709347250.253282,26299,50.87126159667969
1709347269.3037796,26309,47.5712890625
1709347536.4058495,26449,64.50334167480469
1709347651.3461113,26509,58.50343322753906
1709347746.0418708,26559,34.86278533935547
1709348184.708254,26789,49.62333297729492
1709348317.9434564,26859,63.599815368652344
1709348413.2904234,26909,59.635093688964844
1709348661.255973,27039,53.10519027709961
1709348806.0922766,27109,51.5274658203125
1709349092.024805,27259,57.87118148803711
1709349320.973859,27379,46.12865447998047
1709349378.436017,27409,55.072235107421875
1709349646.5095384,27549,70.73665618896484
1709349665.6259453,27559,61.441139221191406
1709349703.6479821,27579,64.42320251464844
1709350317.1172647,27899,55.2841796875
1709350336.391298,27909,52.50553512573242
1709350355.5194569,27919,54.446533203125
1709350714.4944844,28099,50.833290100097656
1709351008.3479168,28249,55.88212203979492
1709351946.6241512,28729,71.69619750976562
1709352121.689394,28819,57.013916015625
1709352296.7891302,28909,51.62885665893555
1709352415.0648513,28969,49.24687957763672
1709352493.5112278,29009,46.6971549987793
1709352837.8216624,29179,49.301387786865234
1709352877.1856947,29199,47.51646041870117
1709352896.7469516,29209,59.55854415893555
1709353817.09312,29679,57.81250762939453
1709353972.3799129,29759,43.492576599121094
1709354421.0248735,29989,50.87670135498047
1709354608.7088637,30079,45.03322982788086
1709354686.6029348,30119,52.80754089355469
1709354764.1626842,30159,59.10038375854492
1709354998.4193738,30279,50.83953857421875
1709355056.9327638,30309,58.431114196777344
1709355213.8462818,30389,60.08842086791992
1709355272.699247,30419,36.73688888549805
1709355740.9503143,30659,54.949607849121094
1709355817.1162271,30699,59.954402923583984
1709355855.4521623,30719,65.96000671386719
1709356400.4830768,30999,61.03978729248047
1709356840.178511,31229,64.94831848144531
1709357128.0213203,31379,47.18105697631836
1709357280.1833937,31459,53.80094909667969
1709357375.667174,31509,51.709041595458984
1709357472.0228775,31559,44.01947784423828
1709357586.9266155,31619,54.108489990234375
1709357892.2404132,31779,58.133087158203125
1709358247.8864777,31959,50.724891662597656
1709358267.1557882,31969,53.3446044921875
1709358400.807072,32039,50.58590316772461
1709358458.28981,32069,62.44095993041992
1709358915.902618,32309,69.31217956542969
1709358973.0726233,32339,51.67719268798828
1709359106.6293788,32409,63.858184814453125
1709359163.5917535,32439,64.06095123291016
1709359183.298841,32449,65.15758514404297
1709359221.5479052,32469,46.340606689453125
1709359240.552853,32479,59.82292938232422
1709359716.9319696,32729,49.39144515991211
1709359887.9495776,32819,47.83512878417969
1709360359.3361466,33059,49.8658561706543
1709360511.915996,33139,49.50349044799805
