Wall time,Step,Value
1717398568.5437133,19,823.11669921875
1717398608.7494085,39,804.4898071289062
1717398650.0265336,59,646.3983154296875
1717398670.485887,69,625.5267333984375
1717398691.762321,79,578.3290405273438
1717398713.1392522,89,626.2244262695312
1717398735.2584102,99,403.22119140625
1717398757.1880982,109,433.9391784667969
1717398779.526834,119,387.4759826660156
1717398801.7618592,129,386.8297424316406
1717398823.799901,139,487.8327331542969
1717398846.029703,149,455.6703186035156
1717398869.162812,159,383.8512268066406
1717398892.1470032,169,443.1837463378906
1717398914.896207,179,400.8466796875
1717398937.9929187,189,432.8909606933594
1717398960.6663435,199,438.8294982910156
1717398983.6731086,209,427.3231506347656
1717399007.4779813,219,504.2131042480469
1717399031.2483418,229,415.6986999511719
1717399053.4720814,239,445.29107666015625
1717399076.011001,249,420.0523681640625
1717399098.7279637,259,389.2677307128906
1717399144.5516055,279,391.9513854980469
1717399212.3291333,309,404.073974609375
1717399235.033176,319,421.5081481933594
1717399258.2929893,329,401.6999816894531
1717399280.079023,339,356.97216796875
1717399303.4752169,349,434.1672668457031
1717399347.4105995,369,417.42828369140625
1717399392.89023,389,380.60064697265625
1717399415.9186058,399,385.0851745605469
1717399439.1445744,409,379.4898681640625
1717399484.1042023,429,386.1462097167969
1717399506.365607,439,388.3161926269531
1717399528.5980315,449,427.91876220703125
1717399550.583738,459,368.0855712890625
1717399572.968292,469,355.0091552734375
1717399594.9946284,479,407.48388671875
1717399640.246328,499,353.7940979003906
1717399662.3506196,509,310.7044982910156
1717399706.8570166,529,334.3368225097656
1717399730.4776797,539,358.7379455566406
1717399752.9502683,549,302.5223693847656
1717399775.0697458,559,353.8885803222656
1717399797.3261619,569,332.2369689941406
1717399819.487998,579,332.4630432128906
1717399864.1709554,599,393.36456298828125
1717399887.4942672,609,299.4542236328125
1717399911.0257134,619,283.39678955078125
1717399934.7224958,629,274.3956604003906
1717399956.925945,639,342.52783203125
1717399978.841237,649,303.4855041503906
1717400001.1858397,659,299.28497314453125
1717400023.5308404,669,324.484375
1717400045.3980181,679,293.26312255859375
1717400067.7428095,689,267.7520751953125
1717400090.3132808,699,329.2220764160156
1717400136.0522604,719,317.4235534667969
1717400159.2438803,729,306.4713439941406
1717400182.0406775,739,251.9949493408203
1717400204.902547,749,260.8440856933594
1717400249.863027,769,308.2704162597656
1717400273.6752937,779,253.8192901611328
1717400295.7899709,789,316.0506896972656
1717400318.0149333,799,281.4747619628906
1717400362.943144,819,227.0103302001953
1717400385.9753711,829,259.5729675292969
1717400430.8634422,849,281.1240234375
1717400453.086016,859,287.2696838378906
1717400476.712152,869,298.2654113769531
1717400499.0229678,879,261.0135498046875
1717400522.6690526,889,253.6610565185547
1717400544.6353774,899,279.1876220703125
1717400590.5445495,919,270.73626708984375
1717400612.7939677,929,261.56195068359375
1717400635.852788,939,234.90036010742188
1717400658.8509893,949,219.2630157470703
1717400756.376388,969,263.1803283691406
1717400777.8419576,979,243.4518585205078
1717400822.3194656,999,248.95469665527344
1717400846.156327,1009,236.72781372070312
1717400869.1203468,1019,242.38528442382812
1717400892.3639536,1029,256.4229431152344
1717400914.8965218,1039,223.79791259765625
1717400937.827759,1049,237.09478759765625
1717400960.6303153,1059,194.8699493408203
1717400983.5864077,1069,216.9190216064453
1717401028.746089,1089,221.52976989746094
1717401051.4028795,1099,243.96389770507812
1717401074.4393215,1109,184.90611267089844
1717401097.3780496,1119,172.52684020996094
1717401142.8232217,1139,194.16683959960938
1717401166.5646164,1149,185.32618713378906
1717401189.3506808,1159,194.3649444580078
1717401212.9705112,1169,206.7937774658203
1717401235.9759119,1179,217.1463165283203
1717401258.67489,1189,223.45314025878906
1717401282.9254727,1199,187.34783935546875
1717401306.2294133,1209,199.42047119140625
1717401329.913371,1219,177.6092071533203
1717401375.6308982,1239,195.7935028076172
1717401398.1766477,1249,187.91409301757812
1717401420.8530612,1259,188.9990692138672
1717401443.9328272,1269,192.0869903564453
1717401466.894585,1279,197.88726806640625
1717401512.3760228,1299,193.7377471923828
1717401535.8028293,1309,173.0272674560547
1717401605.2894378,1339,210.9261016845703
1717401628.5091097,1349,202.06430053710938
1717401674.4612913,1369,177.0930938720703
1717401696.9249663,1379,168.09930419921875
1717401744.0693514,1399,204.15554809570312
1717401789.5838568,1419,207.81866455078125
1717401812.74627,1429,199.46946716308594
1717401835.405453,1439,178.6929473876953
1717401858.012497,1449,178.69479370117188
1717401881.2646601,1459,174.27218627929688
1717401904.0269878,1469,175.31692504882812
1717401949.9370263,1489,157.2867889404297
1717401973.3571358,1499,157.90504455566406
1717401996.1875618,1509,168.33145141601562
1717402019.771174,1519,159.23190307617188
1717402065.5441506,1539,174.1949462890625
1717402088.1479466,1549,181.6240692138672
1717402111.0245252,1559,171.21499633789062
1717402157.7455366,1579,195.9412384033203
1717402181.859599,1589,158.96853637695312
1717402204.1964474,1599,157.51657104492188
1717402250.1529462,1619,180.77308654785156
1717402274.0138361,1629,149.42286682128906
1717402319.6328115,1649,166.86868286132812
1717402342.4863648,1659,187.4842987060547
1717402387.5922408,1679,147.79209899902344
1717402409.7079773,1689,181.44219970703125
1717402432.5857537,1699,157.05775451660156
1717402478.7613437,1719,159.4397735595703
1717402501.571146,1729,163.97828674316406
1717402524.5952306,1739,140.5652618408203
1717402570.8616576,1759,137.8195037841797
1717402593.9677477,1769,145.3145294189453
1717402616.990973,1779,128.39967346191406
1717402639.4700649,1789,170.12530517578125
1717402685.9032881,1809,156.67686462402344
1717402709.1620772,1819,132.68418884277344
1717402732.9703143,1829,141.3535919189453
1717402755.1504672,1839,175.3665008544922
1717402778.9516032,1849,165.0311737060547
1717402802.4644473,1859,145.26065063476562
1717402824.9323423,1869,171.6428680419922
1717402847.5384114,1879,168.6856231689453
1717402869.9229076,1889,139.49069213867188
1717402916.6740494,1909,146.4114227294922
1717402939.2308998,1919,163.2179412841797
1717403061.3004444,1949,134.99131774902344
1717403150.5300698,1989,140.0479278564453
1717403173.0104644,1999,144.54502868652344
1717403218.8615322,2019,129.65838623046875
1717403241.5929537,2029,148.70050048828125
1717403264.4754772,2039,138.05149841308594
1717403309.9414244,2059,108.42472839355469
1717403333.2143369,2069,130.0411834716797
1717403355.5901318,2079,102.8503646850586
1717403379.2718704,2089,144.9208526611328
1717403402.1662123,2099,107.02732849121094
1717403470.2874227,2129,128.34873962402344
1717403492.8376787,2139,143.82980346679688
1717403514.9450605,2149,124.5256118774414
1717403538.1628838,2159,142.931640625
1717403583.9866772,2179,124.96182250976562
1717403606.2579565,2189,157.7128143310547
1717403629.95027,2199,147.39707946777344
1717403652.170334,2209,128.974853515625
1717403675.0241945,2219,140.65774536132812
1717403697.8304217,2229,135.40318298339844
1717403720.2907462,2239,133.4514923095703
1717403767.1811602,2259,132.5951690673828
1717403791.6105986,2269,134.30642700195312
1717403814.9986286,2279,132.87486267089844
1717403861.5226789,2299,153.1057891845703
1717403883.2060003,2309,154.9740753173828
1717403906.3614812,2319,181.6494140625
1717403930.0135133,2329,147.9641571044922
1717403952.3697853,2339,130.78697204589844
1717403974.764541,2349,145.18003845214844
1717403997.5717285,2359,156.59182739257812
1717404043.6423957,2379,122.48899841308594
1717404065.7746785,2389,110.86072540283203
1717404111.1237051,2409,151.52671813964844
1717404134.5730515,2419,119.66612243652344
1717404157.3377,2429,113.22555541992188
1717404203.5724823,2449,132.3375701904297
1717404227.8874936,2459,116.04460906982422
1717404250.6561966,2469,143.16171264648438
1717404273.867879,2479,124.18421936035156
1717404296.661862,2489,116.17198181152344
1717404320.2676656,2499,139.71636962890625
1717404343.596483,2509,141.92999267578125
1717404366.2139416,2519,114.72804260253906
1717404389.0810935,2529,108.5294189453125
1717404412.3783472,2539,124.34244537353516
1717404435.3674705,2549,152.437255859375
1717404457.8671267,2559,124.88372039794922
1717404480.5785418,2569,122.3012466430664
1717404527.2128627,2589,120.40422821044922
1717404549.7403562,2599,168.36373901367188
1717404573.2906072,2609,133.0841522216797
1717404598.6679897,2619,122.43106842041016
1717404643.7051015,2639,137.5140838623047
1717404667.29132,2649,120.07948303222656
1717404689.8933616,2659,151.6363525390625
1717404736.4840379,2679,140.7991485595703
1717404782.238192,2699,118.02981567382812
1717404828.2148771,2719,135.94114685058594
1717404851.9029508,2729,136.83413696289062
1717404875.2269225,2739,129.26416015625
1717404898.1113403,2749,127.03801727294922
1717404920.645394,2759,143.78497314453125
1717404965.379838,2779,125.71186065673828
1717404988.4745538,2789,155.3173370361328
1717405010.9618113,2799,124.15589904785156
1717405034.0952544,2809,127.01630401611328
1717405057.6389112,2819,162.06947326660156
1717405080.5407157,2829,111.57502746582031
1717405104.7541704,2839,135.47666931152344
1717405127.8693185,2849,117.10733032226562
1717405243.3291972,2899,128.58303833007812
1717405339.6536975,2919,115.19818878173828
1717405361.3907301,2929,143.8899688720703
1717405406.117557,2949,109.68434143066406
1717405429.0577524,2959,114.176513671875
1717405451.648251,2969,101.23776245117188
1717405473.7900798,2979,107.97175598144531
1717405496.263819,2989,113.68877410888672
1717405519.2165115,2999,122.419189453125
1717405542.866503,3009,115.62429809570312
1717405565.5950599,3019,115.41902923583984
1717405588.9645176,3029,111.65013122558594
1717405611.5104144,3039,109.44277954101562
1717405635.3972213,3049,91.09247589111328
1717405702.6708868,3079,128.1686553955078
1717405726.0849814,3089,139.03399658203125
1717405749.1094189,3099,121.7509536743164
1717405772.3588827,3109,117.368896484375
1717405795.0754576,3119,112.29769897460938
1717405840.8053024,3139,139.20640563964844
1717405863.8429346,3149,131.193115234375
1717405886.4725344,3159,133.2417755126953
1717405909.6271024,3169,101.9278564453125
1717405932.817073,3179,107.14766693115234
1717405955.8165843,3189,140.814453125
1717405978.4207003,3199,133.47702026367188
1717406001.0860972,3209,126.81746673583984
1717406024.7551441,3219,123.88551330566406
1717406046.565871,3229,141.33682250976562
1717406069.0261228,3239,136.47055053710938
1717406091.6744263,3249,121.74921417236328
1717406113.8063993,3259,129.35142517089844
1717406136.6428185,3269,155.54818725585938
1717406159.6544132,3279,112.1845932006836
1717406181.8578036,3289,103.60737609863281
1717406227.5235324,3309,104.73455047607422
1717406250.1532137,3319,103.65164184570312
1717406294.4234686,3339,112.11846160888672
1717406339.3373692,3359,108.52213287353516
1717406384.4193234,3379,132.57826232910156
1717406428.7755423,3399,113.82131958007812
1717406451.13838,3409,144.40298461914062
1717406474.05861,3419,116.62625122070312
1717406497.159631,3429,141.01589965820312
1717406519.1049824,3439,114.26358795166016
1717406541.566305,3449,102.3282470703125
1717406564.0822673,3459,133.4104766845703
1717406586.4840677,3469,113.64613342285156
1717406608.4953063,3479,117.30726623535156
1717406630.4752698,3489,109.602294921875
1717406653.4593194,3499,142.89181518554688
1717406675.742692,3509,119.21855926513672
1717406699.000711,3519,148.0685577392578
1717406721.8372455,3529,118.46766662597656
1717406744.2196188,3539,80.97322845458984
1717406767.247565,3549,125.14188385009766
1717406789.9612465,3559,118.67938995361328
1717406812.7083235,3569,116.38406372070312
1717406834.9040396,3579,118.84097290039062
1717406856.628418,3589,110.32706451416016
1717406879.6798954,3599,102.21546936035156
1717406902.1931574,3609,120.88938903808594
1717406925.4377744,3619,103.0109634399414
1717406949.1146889,3629,134.60972595214844
1717406972.1118968,3639,105.13324737548828
1717406994.573847,3649,126.78226470947266
1717407016.973165,3659,114.30384826660156
1717407039.4381316,3669,130.8487091064453
1717407062.8212125,3679,143.9639892578125
1717407085.7966106,3689,103.09822845458984
1717407130.3811839,3709,126.92666625976562
1717407152.4875395,3719,101.682861328125
1717407196.9526887,3739,113.61507415771484
1717407220.0842597,3749,129.4823455810547
1717407242.0199242,3759,121.54006958007812
1717407264.5550458,3769,150.6534881591797
1717407288.0706182,3779,123.66995239257812
1717407309.8239949,3789,96.7767105102539
1717407332.0177402,3799,138.7224884033203
1717407377.8340387,3819,135.5485076904297
1717407400.024673,3829,130.9480438232422
1717407445.1067429,3849,107.5844497680664
1717407467.8481634,3859,115.65428161621094
1717407489.690439,3869,115.17860412597656
1717407564.7225366,3879,131.68197631835938
1717407586.4082327,3889,134.8177032470703
1717407630.6191714,3909,134.79367065429688
1717407653.6161737,3919,129.12301635742188
1717407675.1827683,3929,116.31004333496094
1717407697.0767007,3939,117.12599182128906
1717407763.196339,3969,120.10785675048828
1717407807.999956,3989,167.8965606689453
1717407829.7501798,3999,143.204345703125
1717407873.7800539,4019,109.0535888671875
1717407896.584337,4029,113.06067657470703
1717407918.9812226,4039,148.543212890625
1717407963.1291375,4059,114.280029296875
1717407985.7660863,4069,111.5364761352539
1717408030.9338744,4089,105.7492446899414
1717408076.4164076,4109,82.29692077636719
1717408098.8843076,4119,122.85663604736328
