Wall time,Step,Value
1719746558,967,0.749651194
1719748720,1935,0.387353569
1719750886,2903,0.242685854
1719753051,3871,0.183106899
1719755209,4839,0.156409353
1719757356,5807,0.141624093
1719759504,6775,0.132670254
1719761662,7743,0.12138854
1719763819,8711,0.114212967
1719765979,9679,0.108130842
1719768138,10647,0.099384025
1719770290,11615,0.092918888
1719772436,12583,0.08718995
1719774581,13551,0.081582978
1719776728,14519,0.07963942
1719778881,15487,0.07341478
1719781025,16455,0.073601119
1719783174,17423,0.070335038
1719785327,18391,0.066765331
1719787483,19359,0.066868909
1719789626,20327,0.066750817
1719791774,21295,0.062998757
1719793908,22263,0.06379205
1719796054,23231,0.061776832
1719798224,24199,0.060440782
1719800398,25167,0.060629778
1719802598,26135,0.058655377
1719804795,27103,0.058664955
1719807002,28071,0.056840677
1719809223,29039,0.05490154
1719811452,30007,0.058242172
1719813700,30975,0.058596749
1719815952,31943,0.055376336
1719818205,32911,0.053278241
1719821051,32910,0.055830665
1719823361,33878,0.053241037
1719825669,34846,0.055136543
1719827979,35814,0.050512936
1719830270,36782,0.052725043
1719832571,37750,0.053170517
1719834851,38718,0.051083189
1719837086,39686,0.052046731
1719839311,40654,0.051050939
1719841529,41622,0.050317649
1719843740,42590,0.051237423
1719845942,43558,0.050338231
1719848146,44526,0.050677799
1719850342,45494,0.049571123
1719852549,46462,0.051129717
1719854746,47430,0.049258173
1719856943,48398,0.049478926
1719859136,49366,0.048646361
1719861336,50334,0.046576686
1719863533,51302,0.047819365
1719865728,52270,0.04873763
1719867923,53238,0.046610631
1719870110,54206,0.047587324
1719872297,55174,0.048219994
1719874475,56142,0.047061209
1719876649,57110,0.049100969
1719878820,58078,0.046091028
1719880988,59046,0.045199707
1719883138,60014,0.046617366
1719885289,60982,0.046882588
1719887442,61950,0.046241529
1719889593,62918,0.045879211
1719891746,63886,0.044266213
