Wall time,Step,Value
1717256108.9466627,59,106.38207244873047
1717256133.0923638,69,188.40953063964844
1717256231.2875881,109,127.54965209960938
1717256256.1012225,119,151.10118103027344
1717256330.3897057,149,307.5046081542969
1717256355.3491569,159,157.22271728515625
1717256432.0259576,189,246.28216552734375
1717256457.7303307,199,160.24990844726562
1717256483.5463917,209,172.08261108398438
1717256586.335895,249,247.6028594970703
1717256817.6328213,339,207.0169677734375
1717256894.3983774,369,133.50181579589844
1717256995.671499,409,191.1717071533203
1717257046.5011587,429,272.14605712890625
1717257096.7507005,449,253.9668731689453
1717257122.333367,459,295.8260192871094
1717257174.0269582,479,258.5754699707031
1717257223.846405,499,383.591796875
1717257324.8227534,539,292.1317138671875
1717257349.8844151,549,241.04562377929688
1717257376.508133,559,378.2887878417969
1717257402.3227937,569,462.30615234375
1717257427.5623188,579,370.6504211425781
1717257580.3128283,639,404.3941955566406
1717257631.0140004,659,313.8858947753906
1717257656.1524491,669,98.76847076416016
1717257681.54534,679,246.6136932373047
1717257707.1209471,689,278.4349060058594
1717257783.4062848,719,470.35601806640625
1717257808.502525,729,198.78256225585938
1717257833.7213771,739,376.89300537109375
1717257858.8978012,749,347.69091796875
1717257985.457723,799,185.0762481689453
1717258111.5914762,849,221.15008544921875
1717258186.4716067,879,338.65283203125
1717258211.6042132,889,323.3858947753906
1717258364.5982358,949,250.753662109375
1717258622.583201,1029,148.38357543945312
1717258698.9145916,1059,296.90789794921875
1717258724.47687,1069,260.4129943847656
1717258900.9466157,1139,248.1354217529297
1717258977.0210466,1169,403.75579833984375
1717259026.9492044,1189,275.54669189453125
1717259204.93618,1259,284.11151123046875
1717259230.7886615,1269,393.8682556152344
1717259307.1294494,1299,449.5736083984375
1717259332.1983607,1309,462.60638427734375
1717259509.386024,1379,358.2300720214844
1717259560.1710641,1399,404.04632568359375
1717259611.344174,1419,355.0335388183594
1717259635.9367242,1429,285.6380310058594
1717259661.8209705,1439,310.608154296875
1717259840.3731012,1509,228.98486328125
1717259967.5610478,1559,302.67645263671875
1717260018.3096998,1579,384.50006103515625
1717260043.365292,1589,425.60113525390625
1717260068.7985249,1599,376.0797119140625
1717260144.360493,1629,311.2073669433594
1717260220.4905653,1659,402.5374450683594
1717260271.221572,1679,347.7881774902344
1717260296.5596662,1689,476.2687683105469
1717260372.6429865,1719,408.1104431152344
1717260523.107588,1779,189.64418029785156
1717260548.7649302,1789,157.89244079589844
1717260599.3235075,1809,529.2431640625
1717260675.69939,1839,368.0007629394531
1717260726.110975,1859,475.1755065917969
1717260751.4825523,1869,368.1156005859375
1717260801.8730698,1889,201.57733154296875
1717260851.7369862,1909,257.3151550292969
1717260876.832559,1919,285.72222900390625
1717261106.2682343,1989,323.60845947265625
1717261311.7928472,2069,343.2983093261719
1717261337.0568929,2079,371.8194580078125
1717261362.3362224,2089,287.6514892578125
1717261462.8331485,2129,261.2139587402344
1717261713.8943684,2229,395.87811279296875
1717261738.7993267,2239,200.72679138183594
1717261790.724657,2259,231.5507049560547
1717261841.4650035,2279,302.5315856933594
1717261893.0135362,2299,200.91168212890625
1717261968.6140668,2329,233.70249938964844
1717261993.8527882,2339,195.140625
1717262018.5708406,2349,323.8636169433594
1717262094.4409647,2379,244.84963989257812
1717262350.4606664,2479,254.88128662109375
1717262401.6586301,2499,159.95281982421875
1717262551.7814083,2559,151.43838500976562
1717262629.1521406,2589,124.94789123535156
1717262655.15445,2599,231.64581298828125
1717262680.8981245,2609,69.28899383544922
1717262706.0977268,2619,221.26007080078125
1717262756.3507783,2639,198.0120086669922
1717262857.35559,2679,47.98208236694336
1717262908.1877544,2699,16.820655822753906
1717262958.120955,2719,92.38632202148438
1717263007.7965615,2739,134.06744384765625
1717263133.9794483,2789,73.44796752929688
1717263286.141494,2849,-90.80371856689453
1717263517.8426087,2919,-181.53314208984375
1717263543.258764,2929,-115.01444244384766
1717263669.1039832,2979,-158.6339569091797
1717263693.9471548,2989,-215.87432861328125
1717263770.0262818,3019,-190.20709228515625
1717263795.5323744,3029,-209.89682006835938
1717263821.2413602,3039,-309.195068359375
1717263921.8278909,3079,-393.736083984375
1717263946.6919,3089,-330.51751708984375
1717263996.8955371,3109,-439.8131103515625
1717264072.7829454,3139,-644.16748046875
1717264172.9081175,3179,-689.5076293945312
1717264198.1031137,3189,-765.2607421875
1717264223.0790849,3199,-536.112060546875
1717264247.8276327,3209,-748.621826171875
1717264297.7913558,3229,-667.7920532226562
1717264373.473354,3259,-852.0721435546875
1717264398.3996558,3269,-929.845947265625
1717264423.8713837,3279,-956.884521484375
1717264499.9273028,3309,-955.719482421875
1717264576.1972907,3339,-1199.9808349609375
1717264728.0313911,3399,-1209.392333984375
1717264778.7809916,3419,-1341.5428466796875
1717264854.6837647,3449,-1371.5882568359375
1717264880.0054107,3459,-1107.120361328125
1717264931.6874769,3479,-1361.1734619140625
1717264957.138686,3489,-1423.8504638671875
1717265084.5961654,3539,-1618.5859375
1717265109.7614253,3549,-1388.8314208984375
1717265210.9939718,3589,-1404.402099609375
1717265261.9492533,3609,-1222.20361328125
1717265337.8008385,3639,-1172.5787353515625
1717265438.612431,3679,-1651.332275390625
1717265539.3559995,3719,-1788.342041015625
1717265590.1337268,3739,-1614.59521484375
1717265690.3909984,3779,-1497.78759765625
1717265715.8661423,3789,-1677.821533203125
1717265741.360544,3799,-1497.9215087890625
1717265791.2920775,3819,-1666.78466796875
